Mass,PMR,Year
3.7,118.0,1999
4.0,105.4,1999
4.1,101.5,1999
4.0,96.9,1999
4.0,70.1,1999
4.2,78.6,1999
4.6,82.2,1999
4.7,110.5,1999
4.8,109.0,1999
5.0,122.1,1999
4.6,127.6,1999
4.6,133.7,1999
4.4,118.8,1999
4.5,118.8,1999
4.3,89.0,1999
4.3,89.0,1999
4.8,115.4,1998
4.4,121.5,1998
3.5,100.0,1998
3.9,99.1,1998
4.0,97.5,1998
4.0,93.6,1998
4.2,96.6,1998
4.2,92.9,1998
4.2,79.2,1998
4.1,83.2,1998
4.0,85.0,1998
3.9,80.5,1998
3.8,74.7,1998
3.6,70.8,1998
3.6,66.2,1998
3.7,66.5,1998
3.8,65.6,1998
3.9,60.7,1998
4.0,47.0,1998
4.1,53.0,1998
4.2,59.1,1998
4.3,60.6,1998
